# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
ao du er 	奧杜爾	c=1 d=4.74154e-16 t=25120
ao men 	澳門	c=1 d=4.51812e-07 t=25120
ao shan 	奧山	c=1 d=0.316637 t=25120
ao si ka 	奧斯卡	c=1 d=3.26891e-23 t=25120
ao tang 	熬湯	c=1 d=2.70087e-42 t=25120
ba 	八	c=1 d=0.000567086 t=25120
ba 	吧	c=85 d=0.856723 t=25120
ba 	把	c=11 d=0.905694 t=25120
ba 	爸	c=2 d=5.98488e-35 t=25120
ba ba 	爸爸	c=4 d=0.0189191 t=25120
ba li 	巴黎	c=2 d=2.37946e-22 t=25120
ba na ma 	巴拿馬	c=1 d=0.00136037 t=25120
ba qiao 	巴喬	c=1 d=2.32466e-42 t=25120
ba sa 	巴薩	c=1 d=2.63651e-23 t=25120
ba shen 	巴神	c=1 d=4.6966e-51 t=25120
ba shi 	巴士	c=1 d=0.00316691 t=25120
ba wang 	霸王	c=1 d=5.32303e-24 t=25120
bai 	白	c=5 d=0.0113456 t=25120
bai ben 	白本	c=1 d=2.84727e-16 t=25120
bai cai jia 	白菜價	c=1 d=1.43402e-35 t=25120
bai da 	白搭	c=1 d=3.42287e-35 t=25120
bai da 	百搭	c=1 d=3.40579e-35 t=25120
bai du 	百度	c=14 d=0.254522 t=25120
bai du 	百毒	c=4 d=0.57695 t=25120
bai du pan 	百度盤	c=2 d=2.85416e-15 t=25120
bai du yun 	百度雲	c=2 d=4.30362e-23 t=25120
bai fen 	拜墳	c=1 d=7.56918e-48 t=25120
bai gai 	白蓋	c=1 d=2.04551e-37 t=25120
bai he 	百合	c=1 d=1.21168e-53 t=25120
bai hu zi 	白鬍子	c=1 d=1.6762e-18 t=25120
bai hua 	白話	c=1 d=1.03632e-08 t=25120
bai jiao 	拜教	c=1 d=3.13306e-53 t=25120
bai jiao 	白叫	c=2 d=5.86068e-09 t=25120
bai jiu 	擺酒	c=1 d=7.1124e-51 t=25120
bai ming dan 	白名單	c=5 d=0.0505123 t=25120
bai ming dan na 	白名單那	c=1 d=0.0100518 t=25120
bai ren 	拜仁	c=5 d=2.75527e-22 t=25120
bai shi 	白石	c=0 d=2.19644e-52 t=25120
bai shi zhou 	白石洲	c=1 d=2.20745e-51 t=25120
bai si 	白死	c=1 d=1.92744e-14 t=25120
bai tian 	白天	c=1 d=1.71654e-33 t=25120
bai tuo 	擺脫	c=2 d=0.00482316 t=25120
bai wan 	白完	c=1 d=1.24671e-06 t=25120
bai wu jin ji 	百無禁忌	c=1 d=1.9575e-49 t=25120
bai xing 	百姓	c=2 d=8.06236e-18 t=25120
bai yun 	白雲	c=4 d=0.000272165 t=25120
ban 	伴	c=1 d=4.36778e-50 t=25120
ban 	半	c=3 d=6.86799e-22 t=25120
ban 	拌	c=1 d=3.86137e-12 t=25120
ban 	搬	c=1 d=3.92039e-14 t=25120
ban 	版	c=18 d=4.09127e-05 t=25120
ban 	班	c=1 d=4.9255e-52 t=25120
ban 	辦	c=1 d=7.72209e-48 t=25120
ban ben 	版本	c=7 d=0.453845 t=25120
ban chang 	半場	c=1 d=6.4002e-45 t=25120
ban deng 	板凳	c=4 d=1.61273e-05 t=25120
ban dui 	半對	c=1 d=4.89692e-13 t=25120
ban fa 	辦法	c=6 d=2.09789e-10 t=25120
ban ge yue 	半個月	c=1 d=4.53044e-39 t=25120
ban gong shi 	辦公室	c=1 d=4.49697e-40 t=25120
ban ju 	半句	c=1 d=1.04924e-36 t=25120
ban li 	辦理	c=1 d=1.62578e-41 t=25120
ban nian 	半年	c=2 d=1.89538e-44 t=25120
ban niang 	伴娘	c=2 d=7.22785e-51 t=25120
ban ping 	扳平	c=1 d=8.98277e-33 t=25120
ban quan 	版權	c=4 d=2.04187e-15 t=25120
ban ri 	半日	c=1 d=6.18322e-51 t=25120
ban shi 	辦事	c=1 d=1.68226e-31 t=25120
ban tian 	半天	c=1 d=7.01389e-34 t=25120
ban tong shui 	半桶水	c=1 d=4.39355e-31 t=25120
ban tu 	斑禿	c=1 d=1.96838e-26 t=25120
ban yan zhe 	扮演者	c=1 d=1.04674e-08 t=25120
ban ye 	半夜	c=2 d=2.39049e-35 t=25120
ban yun 	搬運	c=1 d=7.58619e-45 t=25120
ban zhu ren 	班主任	c=1 d=3.78942e-26 t=25120
ban zhuan 	搬磚	c=3 d=1.67284e-16 t=25120
ban zhuan 	板磚	c=1 d=4.40792e-40 t=25120
bang 	幫	c=12 d=0.778801 t=25120
bang 	磅	c=1 d=3.8839e-51 t=25120
bang 	綁	c=1 d=6.73773e-32 t=25120
bang dan 	榜單	c=1 d=1.43036e-05 t=25120
bang ding 	綁定	c=4 d=1.30859e-17 t=25120
bang jia 	綁架	c=2 d=2.06179e-42 t=25120
bang mang 	幫忙	c=1 d=1.32124e-42 t=25120
bang ren 	幫人	c=1 d=1.30498e-14 t=25120
bao 	保	c=5 d=1.47547e-32 t=25120
bao 	包	c=7 d=3.59044e-09 t=25120
bao 	報	c=3 d=4.1614e-10 t=25120
bao 	抱	c=3 d=4.27093e-10 t=25120
bao 	爆	c=8 d=0.00852289 t=25120
bao an 	保安	c=2 d=1.26555e-06 t=25120
bao an 	寶安	c=4 d=1.25924e-06 t=25120
bao bao 	寶寶	c=3 d=3.0291e-09 t=25120
bao cun 	保存	c=2 d=2.17394e-18 t=25120
bao da 	暴打	c=1 d=0.0939493 t=25120
bao dao 	報道	c=5 d=9.57137e-15 t=25120
bao gao 	報告	c=4 d=8.40315e-13 t=25120
bao guo 	包裹	c=1 d=3.38247e-13 t=25120
bao hong 	爆紅	c=1 d=8.75027e-48 t=25120
bao hu fei 	保護費	c=1 d=3.62267e-26 t=25120
bao hu xing 	保護性	c=1 d=1.06256e-08 t=25120
bao ji 	保級	c=2 d=6.49655e-39 t=25120
bao jia 	報價	c=1 d=8.60213e-53 t=25120
bao jian 	保健	c=0 d=9.66427e-12 t=25120
bao jin 	抱緊	c=1 d=2.37001e-34 t=25120
bao jing 	報警	c=6 d=3.36087e-13 t=25120
bao ku 	寶庫	c=1 d=8.8659e-26 t=25120
bao li 	暴力	c=2 d=0.000181365 t=25120
bao lu 	暴露	c=1 d=8.83671e-46 t=25120
bao peng 	爆棚	c=2 d=0.246597 t=25120
bao po 	爆破	c=1 d=7.89713e-47 t=25120
bao xia 	抱下	c=1 d=1.07412e-47 t=25120
bao xian 	保險	c=2 d=0.276542 t=25120
bao xiang 	寶箱	c=2 d=9.73154e-26 t=25120
bao xiu 	保修	c=2 d=2.95079e-22 t=25120
bao xiu qi 	保修期	c=1 d=6.08495e-39 t=25120
bao xue 	暴雪	c=15 d=0.470011 t=25120
bao yang 	保養	c=1 d=1.0069e-22 t=25120
bao yang 	包養	c=1 d=2.28375e-39 t=25120
bao you 	包郵	c=3 d=8.74571e-19 t=25120
bao yu 	寶玉	c=2 d=1.03168e-14 t=25120
bao zang 	寶藏	c=1 d=3.82022e-33 t=25120
bao zha 	爆炸	c=6 d=0.979504 t=25120
bao zha tou 	爆炸頭	c=1 d=6.26153e-52 t=25120
bao zhang 	暴漲	c=1 d=8.50785e-41 t=25120
bao zhao 	爆照	c=2 d=6.39823e-12 t=25120
bao zheng 	保證	c=6 d=0.016141 t=25120
bao zhi 	保值	c=2 d=1.03042e-29 t=25120
bao zhong 	保重	c=2 d=6.52748e-12 t=25120
bao zhu 	包住	c=1 d=6.88343e-19 t=25120
bao zi 	包子	c=2 d=1.00137e-37 t=25120
bao zou 	暴走	c=1 d=6.21125e-16 t=25120
bei 	倍	c=2 d=2.14869e-37 t=25120
bei 	備	c=1 d=4.21841e-23 t=25120
bei 	唄	c=4 d=0.079659 t=25120
bei 	盃	c=0 d=1.01861e-12 t=25120
bei 	背	c=6 d=1.6217e-13 t=25120
bei 	被	c=69 d=0.795121 t=25120
bei ba 	貝巴	c=2 d=5.75852e-08 t=25120
bei bian 	北邊	c=1 d=1.13038e-30 t=25120
bei er 	貝爾	c=1 d=1.38521e-10 t=25120
bei fen 	備份	c=7 d=3.33903e-08 t=25120
bei feng 	被封	c=2 d=2.58511e-39 t=25120
bei guan 	被關	c=1 d=1.02389e-13 t=25120
bei guang 	背光	c=1 d=3.32566e-49 t=25120
bei guo 	背鍋	c=1 d=3.47885e-20 t=25120
bei jing 	北京	c=2 d=6.84094e-05 t=25120
bei jing 	背景	c=3 d=6.80682e-05 t=25120
bei keng 	被坑	c=1 d=9.77969e-33 t=25120
bei nve 	被虐	c=2 d=5.94848e-25 t=25120
bei pen 	被噴	c=1 d=3.12507e-23 t=25120
bei ren 	被人	c=4 d=0.231078 t=25120
bei ren ma 	被人罵	c=1 d=5.16659e-26 t=25120
bei shan 	被刪	c=0 d=9.88334e-11 t=25120
bei shan hao 	被刪號	c=1 d=9.93288e-10 t=25120
bei shang 	北上	c=1 d=0.00208081 t=25120
bei tai 	備胎	c=2 d=0.00349997 t=25120
ben 	奔	c=1 d=5.17275e-40 t=25120
ben 	本	c=6 d=0.125279 t=25120
ben 	笨	c=2 d=2.0491e-53 t=25120
ben chi 	奔馳	c=1 d=1.46502e-22 t=25120
ben di 	本地	c=2 d=1.02086e-37 t=25120
ben lai 	本來	c=8 d=0.0407732 t=25120
ben ming 	本名	c=0 d=3.97545e-32 t=25120
ben shu 	本書	c=0 d=6.71097e-45 t=25120
ben tian 	本田	c=2 d=2.68599e-22 t=25120
ben tu hua 	本土化	c=1 d=3.12082e-07 t=25120
ben zhou 	本週	c=1 d=8.23255e-07 t=25120
ben zi 	本子	c=1 d=1.117e-37 t=25120
bi 	俾	c=18 d=0.00239373 t=25120
bi 	幣	c=0 d=1.27428e-29 t=25120
bi 	比	c=19 d=0.00196431 t=25120
bi 	畢	c=0 d=2.27282e-13 t=25120
bi 	筆	c=4 d=2.76933e-13 t=25120
bi 	逼	c=3 d=8.5907e-08 t=25120
bi an 	比安	c=0 d=2.52093e-26 t=25120
bi de shang 	比得上	c=1 d=1.35963e-26 t=25120
bi er 	比爾	c=0 d=4.07262e-22 t=25120
bi er ne 	比爾呢	c=1 d=4.09304e-21 t=25120
bi fen 	比分	c=2 d=4.30658e-22 t=25120
bi ge da si ding li 	畢哥達斯定理	c=1 d=2.28421e-12 t=25120
bi gui 	必跪	c=1 d=3.59285e-17 t=25120
bi ji 	筆記	c=1 d=1.46652e-34 t=25120
bi ji ben 	筆記本	c=3 d=9.95215e-38 t=25120
bi jiao 	比較	c=7 d=0.00458484 t=25120
bi jiao man 	比較慢	c=1 d=6.83258e-20 t=25120
bi jing 	畢竟	c=8 d=0.387499 t=25120
bi li 	比利	c=0 d=1.55186e-24 t=25120
bi li shi 	比利時	c=3 d=0.000350599 t=25120
bi li ya 	比利亞	c=2 d=3.38989e-23 t=25120
bi mian 	避免	c=2 d=2.60531e-30 t=25120
bi qian 	俾錢	c=2 d=1.23599e-22 t=25120
bi ru 	比如	c=2 d=1.58747e-24 t=25120
bi sai 	比賽	c=3 d=1.67415e-33 t=25120
bi sheng 	畢生	c=1 d=1.97449e-33 t=25120
bi shi 	鄙視	c=1 d=6.0746e-19 t=25120
bi shou 	匕首	c=1 d=1.67706e-24 t=25120
bi shui 	避稅	c=1 d=9.95521e-07 t=25120
bi si 	必死	c=1 d=1.86882e-33 t=25120
bi wo 	俾我	c=1 d=1.09057e-20 t=25120
bi xiu ke 	必修課	c=1 d=1.45821e-26 t=25120
bi xu 	必須	c=4 d=0.219445 t=25120
bi yao 	必要	c=4 d=1.36752e-07 t=25120
bi ye 	畢業	c=3 d=0.222017 t=25120
bi ye sheng 	畢業生	c=1 d=3.64529e-11 t=25120
bi ye xiang 	畢業相	c=1 d=8.3567e-36 t=25120
bi zhi 	壁紙	c=2 d=2.49372e-15 t=25120
bian 	變	c=6 d=2.19395e-08 t=25120
bian 	辯	c=0 d=1.9344e-28 t=25120
bian 	邊	c=13 d=0.0236449 t=25120
bian chang 	邊場	c=1 d=2.0608e-07 t=25120
bian cheng 	編程	c=4 d=1.30984e-06 t=25120
bian cheng 	變成	c=5 d=1.30629e-06 t=25120
bian di 	遍地	c=1 d=1.85887e-29 t=25120
bian dong 	變動	c=1 d=8.61148e-07 t=25120
bian du 	邊度	c=5 d=2.15664e-18 t=25120
bian fu xia 	蝙蝠俠	c=1 d=3.733e-26 t=25120
bian ge 	邊個	c=26 d=0.602396 t=25120
bian geng 	變更	c=1 d=3.97748e-37 t=25120
bian hao 	編號	c=1 d=9.82537e-29 t=25120
bian hui 	變回	c=1 d=3.90071e-43 t=25120
bian ji 	編輯	c=2 d=7.78113e-20 t=25120
bian ji qi 	編輯器	c=1 d=4.35146e-06 t=25120
bian ju 	編劇	c=6 d=0.0785364 t=25120
bian kuang 	邊框	c=1 d=4.29091e-47 t=25120
bian tian 	變天	c=1 d=2.58343e-19 t=25120
bian xie 	便攜	c=1 d=4.45995e-31 t=25120
bian xing jin gang 	變形金剛	c=2 d=5.27072e-39 t=25120
bian yi 	編譯	c=4 d=7.67859e-11 t=25120
bian yi qi 	編譯器	c=1 d=1.58515e-08 t=25120
bian zhi 	貶值	c=2 d=3.22419e-08 t=25120
biao 	標	c=3 d=1.50186e-20 t=25120
biao 	表	c=1 d=5.1124e-49 t=25120
biao 	飆	c=1 d=0.00673795 t=25120
biao che 	飆車	c=2 d=0.0722608 t=25120
biao dan 	表單	c=1 d=1.26944e-42 t=25120
biao di 	表弟	c=1 d=5.22935e-21 t=25120
biao dian 	標點	c=1 d=2.12133e-24 t=25120
biao han 	彪悍	c=1 d=4.56416e-38 t=25120
biao jia 	標價	c=1 d=6.59175e-39 t=25120
biao mei 	表妹	c=6 d=9.66756e-15 t=25120
biao mian 	表面	c=1 d=1.56129e-06 t=25120
biao ming 	表明	c=2 d=0.00063476 t=25120
biao qian 	標籤	c=1 d=3.61259e-52 t=25120
biao qing 	表情	c=4 d=0.0130228 t=25120
biao shi 	表示	c=12 d=0.0792122 t=25120
biao tai 	表態	c=1 d=3.33154e-11 t=25120
biao ti 	標題	c=2 d=3.31662e-17 t=25120
biao xian 	表現	c=1 d=1.27623e-46 t=25120
biao zhun 	標準	c=1 d=7.02726e-27 t=25120
biao zi 	婊子	c=1 d=0.522046 t=25120
bie 	別	c=21 d=0.346456 t=25120
bie hei 	別黑	c=1 d=3.06851e-14 t=25120
bie ren 	別人	c=5 d=1.53486e-11 t=25120
bing 	並	c=5 d=0.0765355 t=25120
bing 	冰	c=1 d=5.40256e-22 t=25120
bing 	病	c=1 d=1.55102e-46 t=25120
bing 	餅	c=5 d=3.66232e-07 t=25120
bing bu 	並不	c=1 d=0.000642592 t=25120
bing chuang 	病牀	c=1 d=7.55374e-24 t=25120
bing huo 	冰火	c=1 d=7.1422e-12 t=25120
bing li 	兵力	c=1 d=0.0149956 t=25120
bing li 	病例	c=1 d=1.21548e-31 t=25120
bing ren 	冰人	c=1 d=1.14965e-23 t=25120
bing wang 	餅王	c=3 d=1.44199e-12 t=25120
bo 	啵	c=3 d=0.666977 t=25120
bo 	搏	c=2 d=0.162539 t=25120
bo 	播	c=2 d=3.56753e-12 t=25120
bo 	波	c=1 d=8.58993e-07 t=25120
bo fan 	波凡	c=2 d=4.79533e-51 t=25120
bo fang 	播放	c=6 d=1.18306e-17 t=25120
bo fang qi 	播放器	c=2 d=7.65616e-06 t=25120
bo ge 	博格	c=0 d=9.36718e-27 t=25120
bo ge kan pu 	博格坎普	c=1 d=9.41414e-26 t=25120
bo hao 	撥號	c=1 d=8.09291e-41 t=25120
bo ji 	搏擊	c=1 d=0.615697 t=25120
bo luo 	菠蘿	c=0 d=9.84912e-29 t=25120
bo pi 	剝皮	c=0 d=1.83188e-05 t=25120
bo sai dong 	波塞冬	c=1 d=1.52585e-30 t=25120
bo si wan 	波斯灣	c=1 d=2.11621e-25 t=25120
bo yin yuan 	播音員	c=1 d=3.95832e-39 t=25120
bu 	不	c=62 d=0.514307 t=25120
bu 	步	c=2 d=8.11853e-41 t=25120
bu 	補	c=2 d=0.203926 t=25120
bu 	部	c=10 d=2.37094e-08 t=25120
bu ai 	不愛	c=1 d=6.72476e-40 t=25120
bu an 	不按	c=1 d=1.16663e-19 t=25120
bu an quan 	不安全	c=1 d=2.27352e-45 t=25120
bu bang 	不幫	c=1 d=1.24113e-12 t=25120
bu bao 	不報	c=2 d=1.45352e-09 t=25120
bu bei 	不被	c=1 d=2.83452e-22 t=25120
bu bi 	不必	c=1 d=6.00885e-38 t=25120
bu bian 	不變	c=1 d=5.73547e-49 t=25120
bu cha 	不差	c=1 d=1.82305e-06 t=25120
bu chong 	補充	c=1 d=1.02864e-38 t=25120
bu chu 	不出	c=2 d=8.45246e-23 t=25120
bu chui 	不吹	c=1 d=0.216535 t=25120
bu cuo 	不錯	c=10 d=0.0190726 t=25120
bu dai 	不帶	c=3 d=7.95924e-27 t=25120
bu dai gou 	不帶狗	c=1 d=7.57458e-27 t=25120
bu dan 	不單	c=0 d=7.23266e-14 t=25120
bu dan zhi 	不單止	c=1 d=7.26891e-13 t=25120
bu dao 	不到	c=5 d=3.21641e-09 t=25120
bu dao 	補刀	c=1 d=3.60338e-22 t=25120
bu di 	不低	c=1 d=1.01719e-24 t=25120
bu dong 	不動	c=0 d=5.96465e-11 t=25120
bu dong 	不懂	c=2 d=4.4287e-07 t=25120
bu dui 	不對	c=6 d=0.130982 t=25120
bu fa 	不發	c=2 d=1.45544e-33 t=25120
bu fang guo 	不放過	c=1 d=2.21814e-49 t=25120
bu fen 	部分	c=4 d=5.662e-15 t=25120
bu feng zhuo ying 	捕風捉影	c=1 d=3.35052e-19 t=25120
bu fu 	不服	c=4 d=1.46729e-05 t=25120
bu fu lai bian 	不服來辯	c=1 d=1.9441e-27 t=25120
bu gan 	不敢	c=4 d=1.27893e-12 t=25120
bu gao 	不高	c=3 d=2.98705e-21 t=25120
bu gen 	不跟	c=1 d=8.49455e-52 t=25120
bu gou 	不夠	c=4 d=4.11252e-07 t=25120
bu gu 	不顧	c=1 d=5.56312e-43 t=25120
bu guan 	不關	c=1 d=4.79001e-18 t=25120
bu gui 	不貴	c=1 d=9.92042e-54 t=25120
bu guo 	不過	c=49 d=0.0218098 t=25120
bu hao 	不好	c=3 d=1.38686e-24 t=25120
bu he shi 	不合適	c=1 d=0.000518277 t=25120
bu hui 	不回	c=1 d=0.00410726 t=25120
bu hui 	不會	c=14 d=0.000176659 t=25120
bu hui pan 	不會判	c=1 d=7.10151e-33 t=25120
bu hui ting 	不會停	c=1 d=1.98607e-43 t=25120
bu hui zuo 	不會做	c=1 d=3.80582e-18 t=25120
bu ji 	部機	c=1 d=1.60993e-14 t=25120
bu jian 	不見	c=0 d=8.282e-49 t=25120
bu jin 	不進	c=2 d=2.8212e-23 t=25120
bu jiu 	不就	c=0 d=2.45109e-19 t=25120
bu jiu shi 	不就是	c=1 d=6.4914e-35 t=25120
bu jiu wan 	不就完	c=1 d=2.46337e-18 t=25120
bu jue de 	不覺得	c=1 d=9.10428e-44 t=25120
bu kan 	不看	c=2 d=1.00604e-12 t=25120
bu ke yi 	不可以	c=1 d=6.3378e-18 t=25120
bu kuai 	不快	c=1 d=4.80404e-23 t=25120
bu kui 	不虧	c=1 d=1.53006e-33 t=25120
bu lan 	布蘭	c=0 d=3.07269e-31 t=25120
bu lan ke 	布蘭科	c=2 d=6.20722e-30 t=25120
bu liao 	不了	c=2 d=3.81437e-15 t=25120
bu liao jie 	不瞭解	c=1 d=4.03278e-23 t=25120
bu lin 	布林	c=0 d=0.0148823 t=25120
bu lin de 	布林德	c=1 d=0.149569 t=25120
bu liu 	不留	c=1 d=6.14506e-37 t=25120
bu liu xing 	不流行	c=1 d=0.0599047 t=25120
bu lun bu lei 	不倫不類	c=2 d=4.83961e-43 t=25120
bu luo 	部落	c=3 d=1.08692 t=25120
bu mai 	不買	c=2 d=9.85447e-05 t=25120
bu man 	不滿	c=1 d=5.80434e-13 t=25120
bu mang 	不忙	c=1 d=6.20808e-10 t=25120
bu men 	部門	c=3 d=3.01707e-21 t=25120
bu ming 	不明	c=3 d=2.52444e-12 t=25120
bu nan 	不難	c=2 d=6.7692e-28 t=25120
bu neng 	不能	c=14 d=0.000116667 t=25120
bu neng da kai 	不能打開	c=1 d=3.5668e-49 t=25120
bu neng ren 	不能忍	c=1 d=3.16842e-38 t=25120
bu ni 	不暱	c=1 d=5.90411e-37 t=25120
bu niao 	不鳥	c=1 d=0.0769192 t=25120
bu pa 	不怕	c=7 d=0.761976 t=25120
bu pai chu 	不排除	c=1 d=2.60842e-44 t=25120
bu pang 	不胖	c=1 d=6.00476e-30 t=25120
bu pei 	不賠	c=1 d=0.202909 t=25120
bu qing chu 	不清楚	c=1 d=1.54381e-50 t=25120
bu ran 	不然	c=5 d=0.0675424 t=25120
bu rang 	不讓	c=1 d=8.65906e-13 t=25120
bu ru 	不如	c=4 d=7.00674e-22 t=25120
bu shang 	不上	c=4 d=0.00196961 t=25120
bu shao 	不少	c=1 d=2.79327e-26 t=25120
bu she fang 	不設防	c=1 d=7.73022e-31 t=25120
bu shi 	不實	c=1 d=3.72792e-10 t=25120
bu shi 	不是	c=62 d=1.29832 t=25120
bu shu fu 	不舒服	c=1 d=1.79799e-49 t=25120
bu shu xi 	不熟悉	c=1 d=4.24402e-06 t=25120
bu shuo 	不說	c=4 d=0.00113627 t=25120
bu tai ping 	不太平	c=1 d=3.87136e-13 t=25120
bu tao hao 	不討好	c=1 d=5.70298e-41 t=25120
bu tong 	不同	c=2 d=5.18807e-16 t=25120
bu tong fan xiang 	不同凡響	c=1 d=0.084163 t=25120
bu tong yi 	不同意	c=1 d=1.0545e-36 t=25120
bu wan 	不完	c=1 d=0.00225411 t=25120
bu wan 	不玩	c=3 d=3.30581e-08 t=25120
bu wan 	補完	c=1 d=5.11344e-22 t=25120
bu wan zheng 	不完整	c=1 d=6.12294e-24 t=25120
bu wen bu huo 	不溫不火	c=1 d=6.02235e-35 t=25120
bu wu zheng ye 	不務正業	c=1 d=7.87432e-13 t=25120
bu xi guan 	不習慣	c=0 d=4.56663e-16 t=25120
bu xi huan 	不喜歡	c=1 d=6.72627e-12 t=25120
bu xiang 	不像	c=2 d=1.50677e-29 t=25120
bu xiang 	不想	c=8 d=6.91461e-11 t=25120
bu xiang kan 	不想看	c=1 d=1.55615e-26 t=25120
bu xiang pai 	不想拍	c=1 d=3.56438e-41 t=25120
bu xiao xin 	不小心	c=1 d=7.97107e-39 t=25120
bu xie 	不謝	c=3 d=0.878095 t=25120
bu xin 	不信	c=2 d=5.08447e-14 t=25120
bu xing 	不行	c=5 d=6.13411e-14 t=25120
bu xing 	不醒	c=1 d=4.57441e-35 t=25120
bu xu yao 	不需要	c=3 d=0.565525 t=25120
bu yao 	不要	c=24 d=0.000703327 t=25120
bu yao lian 	不要臉	c=1 d=1.10724e-22 t=25120
bu yao peng 	不要碰	c=1 d=2.90569e-49 t=25120
bu yao tong 	不腰痛	c=1 d=5.45128e-10 t=25120
bu yao yong 	不要用	c=1 d=1.66722e-43 t=25120
bu yi 	不易	c=1 d=2.43629e-35 t=25120
bu yi ding neng 	不一定能	c=1 d=8.02057e-53 t=25120
bu ying gai 	不應該	c=1 d=1.31743e-08 t=25120
bu yong 	不用	c=14 d=9.53174e-25 t=25120
bu yuan 	不遠	c=1 d=1.1648e-30 t=25120
bu yuan le 	不遠了	c=1 d=1.89082e-53 t=25120
bu zai 	不再	c=1 d=2.35899e-38 t=25120
bu zai 	不在	c=3 d=0.000207579 t=25120
bu zai hu 	不在乎	c=1 d=1.16259e-37 t=25120
bu zao 	不早	c=1 d=7.93942e-51 t=25120
bu zao 	不造	c=5 d=0.00609998 t=25120
bu zen me yang 	不怎麼樣	c=1 d=5.53537e-43 t=25120
bu zhao 	不着	c=1 d=1.25186e-25 t=25120
bu zhao 	補招	c=1 d=0.00486835 t=25120
bu zhi 	不知	c=2 d=0.0282294 t=25120
bu zhi chi 	不支持	c=1 d=7.33822e-07 t=25120
bu zhi dao 	不知道	c=9 d=1.68886e-11 t=25120
bu zhi suo wei 	不知所謂	c=1 d=0.0263839 t=25120
bu zhong yao 	不重要	c=2 d=2.18968e-44 t=25120
bu zhu 	不住	c=1 d=1.27497e-05 t=25120
bu zhuo diao 	不着調	c=1 d=2.15595e-38 t=25120
bu zu 	不足	c=1 d=4.28362e-27 t=25120
ca 	擦	c=1 d=4.66285e-25 t=25120
cai 	彩	c=1 d=3.86124e-41 t=25120
cai 	才	c=76 d=1.05577 t=25120
cai 	猜	c=3 d=0.00200924 t=25120
cai 	菜	c=1 d=0.000710174 t=25120
cai 	財	c=1 d=6.13128e-40 t=25120
cai 	踩	c=1 d=5.79034e-14 t=25120
cai bao 	財報	c=1 d=6.48015e-44 t=25120
